"tree_1","pseudolognormal_with_dicty","node_age_differece","node_names"
0.813071999999999,0.820141,-0.00706900000000044,"258"
0.693760999999999,0.704362,-0.0106010000000003,"259"
0.582241999999999,0.595270999999999,-0.0130290000000004,"260"
0.449835999999999,0.457663999999999,-0.00782799999999995,"261"
0.432603999999999,0.444545999999999,-0.0119420000000003,"262"
2.382362,2.412341,-0.0299790000000009,"263"
1.705395,1.709571,-0.00417600000000062,"264"
0.967528,0.971425,-0.00389700000000026,"265"
0.479284,0.504586,-0.0253019999999999,"266"
1.136025,1.135582,0.000442999999999749,"267"
0.990596,0.984897,0.0056989999999999,"268"
0.615907,0.602029,0.0138780000000001,"269"
1.182805,1.180979,0.00182599999999944,"270"
0.612128,0.614163,-0.00203500000000023,"271"
1.112443,1.109674,0.00276899999999891,"272"
0.982009,0.986370000000001,-0.00436100000000117,"273"
0.806225,0.818431000000001,-0.0122060000000017,"274"
1.038806,1.035019,0.0037869999999991,"275"
0.897433,0.896058000000001,0.00137499999999946,"276"
0.738264,0.745680000000001,-0.00741600000000098,"277"
0.652892,0.660354000000001,-0.00746200000000119,"278"
0.564070999999999,0.571671000000001,-0.00760000000000183,"279"
0.451228,0.456253000000001,-0.00502500000000161,"280"
0.324276999999999,0.326271000000001,-0.00199400000000161,"281"
